# productos.csv - Archivo de productos Fase 2 EDD S1 2026
,

SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
S002,Brocoli 550,KRLCDE40DTK,Bebidas,2026-11-15,Colgate,235.42,85
S028,Galletas 543,ZE0FJ50B7NQX,Congelados,2026-12-07,Kelloggs,393.43,113
S020,Helado 673,GQ3G19VP4B,Lacteos,2025-06-01,Lala,16.86,163
S023,Pizza 241,XAZAQG1NZ21,Frutas,2026-08-18,Maseca,223.48,19
S010,Jabon 154,ZEGW05LRNP,Lacteos,2026-12-08,Kelloggs,150.32,42
S003,Detergente 884,CYULJM9B3W,Congelados,2027-03-19,Maseca,76.53,46
S012,Leche 599,9NV2VXR86SX,Panaderia,2027-11-23,Maseca,9.41,114
S019,Pan 633,5HB5U5EZFUQHM,Higiene,2026-05-28,CocaCola,386.27,133
S009,Manzana 384,68EMP3BDKDQ,Bebidas,2027-07-05,Maseca,166.19,186
S028,Tortilla 900,O8WTGIWGDFYU,Snacks,2025-03-28,PepsiCo,438.33,177
S019,Pizza 193,LH1HIIHT1M1,Verduras,2026-05-13,CocaCola,254.79,162
S015,Naranja 816,ZRMGWPJZ5M,Snacks,2027-03-24,PepsiCo,380.75,194
S004,Naranja 72,HJQVHT788M0WW,Higiene,2025-04-04,Kelloggs,247.4,116
S014,Yogurt 168,ZQL66XEEX7X,Snacks,2025-10-15,Bimbo,404.77,124
S006,Jabon 544,NV0ERNZG3UJ,Bebidas,2025-08-06,Maseca,236.77,129
S012,Manzana 490,HJJ821PJ56N4F,Higiene,2027-03-15,Bimbo,460.18,167
S006,Manzana 597,ZLLK0AXEKWC,Snacks,2025-12-06,Maseca,243.17,123
S021,Brocoli 325,UK11OPS95X,Lacteos,2027-03-10,PepsiCo,121.81,99
S018,Brocoli 394,GZ1QK3BRGXP0,Limpieza,2026-04-19,Sabritas,426.25,129
S002,Acondicionador 405,RBM799P0HAERH,Carnes,2025-05-01,Bimbo,210.9,193
S018,Helado 346,2BWIK7JCI8O2,Bebidas,2025-07-23,Colgate,232.42,72
S016,Refresco 717,M3XOF3TDOI5Q,Lacteos,2027-12-22,Unilever,92.87,14
S011,Papas 612,UZ2VJMJ30Y1AI,Panaderia,2025-03-19,Sabritas,444.48,143
S009,Refresco 182,7RMJZUZ3B22K6,Snacks,2027-08-07,Unilever,208.49,69
S030,Zanahoria 519,L0A2N3P5BCXCY,Frutas,2025-05-10,Kelloggs,496.33,78
S012,Zanahoria 88,I6B4DPM17VLJU,Bebidas,2025-04-23,PepsiCo,272.04,145
S006,Carne 841,XONY9WI21J,Congelados,2025-10-05,Nestle,235.53,91
S027,Pizza 224,TVMUFTY5JFPI,Congelados,2025-03-23,Kelloggs,28.68,130
S029,Refresco 439,2BKB2IWSQF0H7,Congelados,2025-04-22,Sabritas,203.6,107
S015,Brocoli 774,JWJJYWR50CQ,Panaderia,2027-02-24,Unilever,114.47,36
S002,Zanahoria 465,XPLCA6OLPL,Limpieza,2026-10-28,Unilever,166.12,36
S012,Jabon 448,PAS70FRG0O,Limpieza,2027-05-05,Bimbo,278.52,149
S028,Jugo 237,PWE30QNUHTXVP,Bebidas,2027-06-28,Bimbo,288.12,194
S018,Acondicionador 543,ZFOUCM22KPRVT,Bebidas,2025-03-14,Kelloggs,265.05,185
S017,Papas 16,P25WTX9CWKG,Limpieza,2026-06-15,Lala,56.29,107
S010,Carne 689,I1MC72IQA9,Higiene,2026-03-11,Nestle,135.99,181
S027,Tortilla 8,7VXC920T83RD,Frutas,2026-04-01,Bimbo,425.72,92
S027,Pizza 729,PVIBZDFE3QWN2,Higiene,2026-12-04,Lala,60.17,135
S011,Jabon 903,9HKHEY31KJEK9,Higiene,2025-01-22,Sabritas,461.19,190
S022,Papas 482,JRRD5YW7ZN7OA,Congelados,2026-11-08,CocaCola,497.61,15
S014,Carne 770,4G0FWHZLODMS,Bebidas,2026-03-23,Unilever,111.54,187
S002,Detergente 586,65DGPDLE4G,Carnes,2026-01-13,Kelloggs,384.86,175
S030,Zanahoria 498,UZQ1AGNFKD4,Verduras,2026-12-16,Bimbo,474.94,171
S011,Detergente 806,53W7MIHO5836,Limpieza,2025-02-19,Colgate,474.32,114
S024,Helado 62,75AXOWYYBFP,Verduras,2026-08-10,Lala,11.04,4
S024,Papas 887,TJE0EJYHJPN,Limpieza,2026-11-24,Unilever,290.43,160
S023,Helado 528,T2UYSI9I6J,Carnes,2026-12-04,PepsiCo,222.79,167
S010,Helado 399,A8T5T0OGVPTYU,Higiene,2026-05-12,Bimbo,494.21,33
S006,Papas 909,KTR7URHUIHFK,Carnes,2025-01-23,Colgate,395.48,102
S010,Jabon 954,SXYBXFRCH8DR,Higiene,2025-12-17,Maseca,248.27,68
S014,Galletas 681,QJFLSEB5Y7,Snacks,2025-10-07,Sabritas,411.33,146
S012,Galletas 406,F08FUNHMO93NY,Snacks,2025-06-18,Colgate,10.74,114
S009,Manzana 387,82G3KDAYO7,Panaderia,2027-10-02,Unilever,442.43,135
S007,Refresco 256,WNOKTA4WKS9,Congelados,2025-04-20,Unilever,15.07,159
S019,Brocoli 458,VW6CDSUSW3KWV,Snacks,2026-10-24,Kelloggs,313.34,191
S009,Zanahoria 113,ZNNOOJTJH1,Snacks,2026-03-23,CocaCola,347.14,2
S006,Papas 593,LKAODQ7UQ34I,Carnes,2027-12-15,Unilever,275.63,28
S007,Manzana 16,UN7XXUV6M8K06,Carnes,2025-05-20,Unilever,101.14,125
S019,Detergente 660,3SM47N9CG4FG,Carnes,2025-01-06,Sabritas,308.8,48
S029,Papas 939,XLIX0QE7IXM7,Higiene,2026-12-09,Colgate,12.41,67
S003,Helado 364,56S0ZDUJLYS,Verduras,2025-06-08,Unilever,265.32,134
S003,Jabon 876,MOHJFQ3I6C,Carnes,2026-10-05,Sabritas,405.48,176
S027,Yogurt 436,BKKF9UMABKPUS,Congelados,2027-10-26,PepsiCo,336.73,99
S029,Tortilla 356,VHI72EQKQGV,Snacks,2026-10-06,Colgate,23.52,167
S016,Carne 302,D02QBFRW13BY6,Frutas,2026-01-03,Lala,476.79,190
S008,Pollo 430,J6Y5QWND7WOEW,Panaderia,2025-07-26,Sabritas,201.48,10
S001,Papas 648,6COZ4X1AZP9G9,Lacteos,2025-02-20,Unilever,232.35,130
S025,Yogurt 815,BJ4QBP9TLHV,Higiene,2026-01-13,Maseca,201.03,92
S010,Carne 244,UNABVQ41FTE1,Carnes,2027-03-27,CocaCola,201.86,78
S028,Jabon 526,WLJEUWR965G,Bebidas,2027-09-23,CocaCola,438.23,170
S014,Manzana 407,RLW1VSYZ3JT,Verduras,2025-06-22,Unilever,35.58,8
S030,Galletas 27,45384EOKGWN0H,Higiene,2025-01-10,Nestle,281.75,64
S011,Carne 802,TNSJ5DU1S8C,Frutas,2027-10-28,Colgate,275.81,149
S026,Shampoo 159,6PA2WJG7LMC3,Lacteos,2025-11-09,Colgate,477.4,22
S013,Zanahoria 201,VU6YIA7A14,Limpieza,2025-01-08,Sabritas,73.28,156
S029,Zanahoria 676,2RY19A7QHO2F,Higiene,2026-10-08,CocaCola,223.74,15
S027,Shampoo 268,C9G997QP5O,Congelados,2026-08-02,Sabritas,111.02,90
S018,Manzana 118,8CX9YF4MQMG8I,Frutas,2026-11-16,Colgate,267.22,19
S007,Jabon 155,V37W77F1Z8,Lacteos,2025-02-18,PepsiCo,222.23,63
S021,Leche 880,LUDUPXMWURM,Carnes,2025-06-14,Lala,269.32,105
S012,Brocoli 415,TXQF2LKBEUHJB,Verduras,2025-10-22,Colgate,487.59,21
S002,Zanahoria 728,5EBVJL2UMSE,Carnes,2026-05-20,Maseca,179.56,197
S010,Tortilla 225,VZTWTUKFCVC5,Carnes,2025-03-10,Unilever,103.68,102
S010,Naranja 427,44JWT5P3OX,Frutas,2026-08-13,Sabritas,180.8,178
S011,Helado 386,MBNWCZ5R7QE,Frutas,2027-03-20,Bimbo,168.84,184
S030,Galletas 108,KHSE6I7UQVOVQ,Panaderia,2027-06-17,Unilever,169.36,6
S028,Brocoli 76,FBK5GAA60P79,Limpieza,2025-02-10,Nestle,204.82,66
S028,Pan 333,Q1KL2PZ8MN0P,Snacks,2025-12-23,Nestle,228.15,4
S026,Galletas 597,CJ4ZA5OP5V46M,Snacks,2027-03-26,PepsiCo,6.36,93
S025,Naranja 753,3JIJGFNM64,Frutas,2025-03-25,Maseca,461.69,22
S023,Brocoli 887,7SBTF2WDZ7K,Verduras,2026-10-16,Maseca,326.55,84
S020,Leche 637,4BIS7FHK5Z48,Lacteos,2027-10-14,Nestle,318.86,125
S011,Manzana 465,RONJ28AWTJ4,Limpieza,2025-11-19,Unilever,24.56,169
S029,Naranja 539,TGES8OJ6TVK,Lacteos,2027-03-14,Unilever,289.69,39
S029,Manzana 847,5C4NEE7LF2D,Panaderia,2025-01-15,Lala,155.6,64
S004,Manzana 118,FQ00WHGVJRI,Higiene,2026-03-16,Bimbo,199.9,40
S010,Zanahoria 71,JUCMZPQMDBEAG,Verduras,2026-09-13,PepsiCo,431.95,79
S028,Manzana 754,ZC3SCQJF34GF,Bebidas,2025-04-11,Unilever,214.08,193
S006,Pizza 40,HOJ43GTG7O,Frutas,2025-09-21,Kelloggs,382.89,54
S002,Pollo 652,IOXTN3K3HCV,Higiene,2026-05-15,CocaCola,291.33,171
S002,Pan 955,PHDXMRYCHBW6P,Congelados,2027-12-01,Nestle,167.92,135
S014,Pan 863,MINAY91S95X,Bebidas,2025-05-14,Colgate,151.58,16
S017,Galletas 296,3WOPCY2038O2,Panaderia,2025-09-07,Nestle,414.95,29
S012,Manzana 966,X9N6SANED8FU,Bebidas,2026-02-12,CocaCola,416.43,132
S005,Shampoo 552,LXQ2BHZT6KN,Verduras,2026-12-03,Unilever,343.64,37
S004,Shampoo 858,NSARFUQTZA5,Verduras,2027-09-17,Sabritas,42.13,52
S024,Pan 708,BLKS1OR7HDQ7J,Panaderia,2026-05-14,Maseca,409.26,26
S006,Leche 924,OUEBVXQTX77M,Snacks,2025-03-14,CocaCola,25.06,121
S027,Helado 57,88L197GR69,Lacteos,2027-10-24,Kelloggs,473.75,36
S024,Refresco 720,T7EBZUMCRGVKE,Panaderia,2025-01-20,CocaCola,178.36,76
S009,Naranja 105,A571V3TNVQ8GJ,Bebidas,2027-09-22,Unilever,30.32,6
S002,Pollo 351,V2ZWF6ZV9P9I,Higiene,2026-04-03,Kelloggs,489.36,150
S003,Jabon 281,5ZHKW9SK0QDU,Panaderia,2025-10-15,Sabritas,440.03,35
S007,Detergente 160,U9L1WM6X54,Bebidas,2026-03-28,Unilever,201.41,43
S021,Helado 782,KNBHL78P85N,Frutas,2027-06-25,Colgate,143.22,150
S028,Galletas 51,FWGAODXUC2,Higiene,2025-12-22,PepsiCo,22.99,184
S019,Carne 223,88W9LA9RL0XP,Verduras,2026-03-08,Maseca,392.28,28
S012,Galletas 826,PHT1ULWHJ9,Congelados,2026-04-01,Sabritas,399.83,121
S005,Papas 685,FFWZ2N0BJEE,Frutas,2025-02-03,Sabritas,127.86,193
S001,Galletas 198,7BOH02CX7W,Higiene,2026-05-24,Lala,196.23,69
S003,Refresco 423,AEKQHIB5MH32,Lacteos,2026-05-22,Bimbo,135.95,85
S013,Manzana 172,1ARGMI4GJP,Limpieza,2026-03-10,Maseca,185.38,128
S026,Galletas 949,UMQBJ0AFCB63R,Lacteos,2025-08-01,Kelloggs,249.65,156
S007,Papas 252,DD4WGFZIMRN7N,Panaderia,2027-04-27,Unilever,282.41,22
S026,Pollo 873,DZ2U6BQTW580,Limpieza,2025-09-04,Bimbo,350.05,173
S010,Naranja 475,QS759L6IWLM,Carnes,2027-01-12,Nestle,18.58,25
S012,Manzana 554,WG3NCHOLTVZ7Y,Verduras,2026-06-09,Unilever,227.11,89
S022,Manzana 143,5L0BFOIDWVZYX,Carnes,2025-12-09,Nestle,123.74,93
S016,Galletas 811,V1G53C2K7RIRH,Panaderia,2025-04-16,Lala,208.57,74
S022,Pollo 89,GWBUDWVOWM3,Bebidas,2026-12-19,PepsiCo,421.28,40
S012,Helado 552,QL5K3B2YCJ,Carnes,2025-01-13,Lala,21.22,156
S029,Pan 267,1BQE1WBJK3GX,Lacteos,2026-10-11,Sabritas,19.44,13
S021,Carne 21,AJGQQ5HGG41,Panaderia,2026-01-03,Lala,384.79,72
S003,Pizza 664,JD8PHEJGDW8EJ,Verduras,2026-09-12,CocaCola,195.36,87
S018,Helado 157,YDLCXRN1XE3V3,Congelados,2027-06-08,Maseca,110.03,14
S020,Pizza 617,4DSNXKRYE8,Lacteos,2025-04-09,Bimbo,46.29,16
S008,Brocoli 877,S0ALU35VFXRZ,Bebidas,2026-10-02,Sabritas,269.2,108
S027,Carne 51,FBL7T6J1O2XV5,Higiene,2027-06-16,Maseca,140.46,31
S018,Leche 342,1SOR1FRTJU,Lacteos,2026-10-26,Nestle,77.92,198
S024,Papas 687,851POS394RA,Verduras,2026-01-19,Kelloggs,295.04,32
S008,Helado 35,BUB7H1XP5I9,Carnes,2025-10-03,Colgate,397.3,19
S010,Naranja 481,N6U9P3ZK4A,Carnes,2027-07-02,CocaCola,122.28,190
S018,Papas 852,7W6ZN5ADSUFI,Lacteos,2026-11-06,Bimbo,222.72,15
S008,Tortilla 554,HK02OTN8INHFF,Snacks,2027-02-22,Bimbo,279.82,54
S030,Galletas 803,50JHUBEHM5WB,Panaderia,2026-01-07,CocaCola,233.3,164
S009,Carne 801,TK4LC2D36UW,Bebidas,2025-08-18,Kelloggs,431.4,95
S021,Papas 832,FS5A2IY2CVXT,Congelados,2026-04-16,Lala,313.38,24
S006,Leche 715,OIG1OYMQX6,Lacteos,2027-12-26,Nestle,6.42,16
S020,Brocoli 362,5ZBJQD9RR9KA6,Verduras,2025-05-19,Bimbo,323.01,84
S003,Brocoli 231,FR61I8XPOBKH,Bebidas,2025-06-26,PepsiCo,275.31,178
S002,Manzana 607,AG6AB8A3OS5,Panaderia,2025-10-07,Kelloggs,39.63,160
S012,Helado 862,1SOR7N2HBTS3R,Panaderia,2025-12-10,CocaCola,66.71,25
S021,Acondicionador 263,N6REWJFLME8,Carnes,2026-02-05,Nestle,163.52,18
S017,Acondicionador 559,1EGP5821JMLV,Snacks,2025-06-24,Maseca,413.45,20
S029,Yogurt 873,M5N8SQWC42EP,Higiene,2025-05-16,Bimbo,236.97,90
S017,Pollo 25,0HHNPVLVQBD,Carnes,2027-01-23,Unilever,115.69,70
S021,Jabon 587,FVYI1QJHIA,Carnes,2026-11-10,Maseca,346.55,14
S003,Jabon 118,7XI18LE2TBT,Higiene,2027-10-20,Sabritas,302.37,43
S029,Shampoo 411,9727OMVULOU4Q,Frutas,2026-07-10,PepsiCo,238.8,67
S022,Brocoli 966,VU03D2YF5ID,Bebidas,2027-05-12,PepsiCo,11.78,196
S019,Brocoli 364,PPJQRD9L58PQ,Verduras,2025-02-05,Unilever,282.67,34
S028,Pan 997,X9MAYIAV2DO,Congelados,2025-01-13,CocaCola,383.04,1
S006,Papas 371,JQP1T88QD8X,Panaderia,2026-03-03,Maseca,473.07,121
S019,Naranja 772,K2YMNGSWPDV,Higiene,2027-01-16,CocaCola,152.27,47
S014,Brocoli 377,GYRABGSKZ4D,Limpieza,2027-02-24,Kelloggs,201.52,110
S030,Pizza 192,5J9BS7PGGO,Congelados,2025-01-02,Kelloggs,133.5,57
S001,Leche 645,CGM505LQN7OO,Bebidas,2025-05-27,Maseca,441.24,67
S017,Zanahoria 86,02SN0DQ2KUK,Panaderia,2027-07-10,Bimbo,235.09,81
S004,Carne 118,5BE3LYLC55,Lacteos,2027-01-12,PepsiCo,80.04,29
S003,Detergente 582,P4RHY4XFF5R9M,Limpieza,2027-01-23,Maseca,428.99,148
S025,Detergente 407,JKU88Y3YKZD4J,Panaderia,2026-02-11,PepsiCo,102.47,125
S021,Naranja 121,1QUR5CIMUPUT4,Verduras,2027-05-16,Colgate,483.91,30
S004,Manzana 743,7PV1B968ZYT,Bebidas,2027-07-17,Colgate,219.9,41
S007,Detergente 162,VG05PITI2XV,Lacteos,2025-03-08,Kelloggs,182.5,134
S005,Brocoli 834,W8WZLNBNY382B,Lacteos,2025-03-19,Nestle,486.74,127
S005,Pizza 733,CEKEBUZUTGV,Frutas,2025-04-21,Unilever,7.09,95
S015,Jabon 574,694ZNP23P0SW,Bebidas,2026-04-09,PepsiCo,5.09,139
S025,Manzana 184,EZW1BZF24F,Higiene,2026-06-04,PepsiCo,254.21,104
S003,Papas 4,CGYTPUOY5E,Bebidas,2027-02-24,PepsiCo,186.37,47
S020,Carne 164,DQJ1LFOWBND97,Lacteos,2025-02-23,Bimbo,406.65,111
S017,Pan 402,YB45SP2NTAWF,Snacks,2027-01-06,Maseca,439.55,144
S002,Papas 893,DO9PU6WPMK2Q8,Limpieza,2025-06-18,Kelloggs,5.47,120
S024,Papas 747,AMCD0A89T1O,Frutas,2027-12-18,CocaCola,77.22,8
S023,Tortilla 584,5INLVZJUFI,Carnes,2026-07-21,PepsiCo,50.32,90
S015,Detergente 597,HZBKLNV4NOM,Bebidas,2025-02-01,Colgate,133.67,15
S019,Brocoli 815,UEDD2SIZ26SWI,Verduras,2025-09-22,CocaCola,87.97,44
S007,Naranja 500,EQ77CC6H2G,Limpieza,2026-05-07,Lala,245.31,136
S026,Leche 243,49RPBXK10O90H,Bebidas,2025-06-20,PepsiCo,167.38,170
S028,Pollo 612,3LGSIIMYIR,Carnes,2025-12-03,Kelloggs,209.23,26
S021,Detergente 461,FYAUNDHBF5,Higiene,2027-12-10,PepsiCo,384.17,191
S015,Tortilla 493,8APFHRNGLOSN5,Congelados,2026-12-13,Nestle,488.16,163
S017,Acondicionador 313,ZEYJRYGIZKZUR,Higiene,2025-01-03,Bimbo,247.54,150
S009,Jugo 658,2E3UPDDCD0,Higiene,2025-07-16,Unilever,112.71,94
S023,Shampoo 70,PTJPRZB6L7NX,Frutas,2026-09-14,PepsiCo,358.44,64
S011,Galletas 747,1XVJ4YIQJOYWS,Frutas,2025-12-19,Maseca,58.11,64
S003,Pollo 209,HDJPCB3FCSXB,Verduras,2027-06-24,Sabritas,392.13,97
S025,Shampoo 3,M361P1ENX8YXO,Congelados,2026-03-27,Colgate,125.23,57
S011,Manzana 327,SH3DFIPD0VQ,Bebidas,2026-03-04,Bimbo,359.13,190
S002,Tortilla 482,ET06TICHEP,Higiene,2026-06-21,Sabritas,232.23,12
S026,Brocoli 118,KZ0LTU4JXU,Limpieza,2027-05-05,PepsiCo,460.47,174
S023,Detergente 225,Y4ALWP0ZA9,Snacks,2025-11-27,PepsiCo,66.06,125
S030,Galletas 143,KNI1S09931,Carnes,2025-12-23,Colgate,99.25,143
S009,Brocoli 390,EDJ0ERXTZXE,Higiene,2026-01-22,Maseca,369.17,197
S019,Zanahoria 30,FR6ALARS4HV,Lacteos,2026-08-21,Maseca,257.22,99
S019,Leche 979,N37MB6MMA8K,Congelados,2026-07-19,Lala,383.8,128
S026,Manzana 578,H3GUGRDOP4X,Higiene,2027-09-17,Bimbo,220.65,58
S005,Pizza 339,EL6FSCVHWSW,Panaderia,2026-07-21,Colgate,98.81,4
S004,Pizza 617,IOR992C694Y,Congelados,2027-05-11,CocaCola,338.22,87
S008,Helado 556,P3R96YB88I,Verduras,2027-04-25,Maseca,193.92,148
S025,Naranja 521,5JTJ1BDRMM04,Limpieza,2026-02-01,CocaCola,406.7,22
S006,Jugo 227,2361I4HYNJYC,Bebidas,2025-10-02,Kelloggs,203.37,133
S008,Tortilla 635,4CEZANBDYAZ,Snacks,2027-12-15,Sabritas,277.99,102
S008,Helado 992,VA5DWDAJ0GWE,Lacteos,2027-01-19,Unilever,493.13,167
